,names,main_category,keywords,ratings
953,아브뉴프랑 - 광명점,교통편,쇼핑몰,4.0
954,홍익대학교,교통편,교육적인 장소,4.55625
955,반야사,교통편,"즐길거리 & 랜드마크, 신성한 & 종교적인 장소",4.75
956,장영실 과학관,교통편,과학박물관,4.5
957,들꽃수목원,교통편,"즐길거리 & 랜드마크, 가든",4.5
958,인천대교 기념관,교통편,"전문 박물관, 전망대 & 타워",4.394736842105263
959,신정호,교통편,"물길, 경관이 좋은 산책로",4.5
960,부산과학체험관,교통편,"과학박물관, 어린이 박물관",4.5
961,주문진 관광안내센터,교통편,관광센터,4.166666666666667
962,마니산,교통편,산,4.5
963,서울 시립 미술관,교통편,아트뮤지엄,4.493103448275862
964,충렬사,교통편,"역사적인 장소, 즐길거리 & 랜드마크, 신성한 & 종교적인 장소",4.571428571428571
965,꿈의 숲,교통편,산림,4.75
966,혼불문학관,교통편,전문 박물관,4.3
967,구포시장,교통편,"벼룩시장 & 재래시장, 쇼핑몰, 농산물 직거래 장터",4.7
968,고려산,교통편,산,4.75
969,한국 대나무 박물관,교통편,전문 박물관,4.607142857142857
970,진해 내수면 환경생태공원,교통편,공원,4.611111111111111
971,여진불교미술관,교통편,아트갤러리,4.416666666666667
972,커피박물관,교통편,전문 박물관,4.5
973,평화의 소녀상,교통편,기념비 및 동상,5.0
974,구천동 계곡,교통편,"국립공원, 자연 & 야생동물 서식지, 계곡",5.0
975,임진성,교통편,성,4.5
